Series Name,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Children out of school, primary, female",Sao Tome and Principe,STP,1832,2024,..,1037,..,..,..
"Children out of school, primary, female",Senegal,SEN,232127,238090,..,..,..,274164,..
"Children out of school, primary, female",Seychelles,SYC,..,..,..,..,..,..,..
"Children out of school, primary, female",Sierra Leone,SLE,..,9053,..,..,..,..,..
"Children out of school, primary, female",Somalia,SOM,..,..,..,..,..,..,..
"Children out of school, primary, female",South Africa,ZAF,..,..,..,198498,386532,..,..
"Children out of school, primary, female",South Sudan,SSD,..,580070,..,..,..,..,..
"Children out of school, primary, female",Sudan,SDN,1237439,1246776,1175863,1226657,..,..,..
"Children out of school, primary, female",Tanzania,TZA,685233,..,668354,700780,842001,613436,..
"Children out of school, primary, female",Togo,TGO,62871,52778,66095,63145,48733,25663,..
"Children out of school, primary, female",Uganda,UGA,..,..,..,..,..,..,..
"Children out of school, primary, female",Zambia,ZMB,..,..,..,214262,..,..,..
"Children out of school, primary, female",Zimbabwe,ZWE,..,..,..,..,..,..,..
"Children out of school, primary, female",Algeria,DZA,..,..,..,..,..,..,..
"Children out of school, primary, female","Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..
"Children out of school, primary, female",Djibouti,DJI,12505,14802,16101,15192,15144,13985,15408
"Children out of school, primary, female",Libya,LBY,..,..,..,..,..,..,..
"Children out of school, primary, female",Tunisia,TUN,..,..,..,..,..,..,..
"Children out of school, primary, male",Angola,AGO,..,..,..,..,..,..,..
"Children out of school, primary, male",Benin,BEN,..,..,..,..,..,32693,..
"Children out of school, primary, male",Botswana,BWA,19288,..,..,..,..,..,..
"Children out of school, primary, male",Burkina Faso,BFA,458752,448778,370444,364976,335760,371101,..
"Children out of school, primary, male",Burundi,BDI,..,..,..,51105,69832,85660,..
"Children out of school, primary, male",Cabo Verde,CPV,1848,1841,1915,1900,1735,..,..
"Children out of school, primary, male",Cameroon,CMR,..,..,15527,48680,..,83981,..
"Children out of school, primary, male",Central African Republic,CAF,..,..,..,..,..,..,..
"Children out of school, primary, male",Chad,TCD,..,132382,221475,300374,227216,240215,..
"Children out of school, primary, male",Comoros,COM,7084,..,..,8750,11522,..,..
"Children out of school, primary, male","Congo, Dem. Rep.",COD,..,..,..,..,..,..,..
"Children out of school, primary, male","Congo, Rep.",COG,..,..,..,..,..,..,..
"Children out of school, primary, male",Cote d'Ivoire,CIV,410588,346527,159702,141216,44066,32670,..
"Children out of school, primary, male",Equatorial Guinea,GNQ,..,42800,..,..,..,..,..
"Children out of school, primary, male",Eritrea,ERI,75309,88279,..,115702,117424,..,..
"Children out of school, primary, male",Eswatini,SWZ,13891,15323,15389,17918,16087,..,..
"Children out of school, primary, male",Ethiopia,ETH,880532,911879,..,..,..,..,..
"Children out of school, primary, male",Gabon,GAB,..,..,..,..,..,..,..
"Children out of school, primary, male","Gambia, The",GMB,52814,44905,43895,41254,39679,36013,..
"Children out of school, primary, male",Ghana,GHA,..,..,..,56903,84794,26649,..
"Children out of school, primary, male",Guinea,GIN,136334,..,142323,..,..,..,..
"Children out of school, primary, male",Guinea-Bissau,GNB,..,..,..,..,..,..,..
"Children out of school, primary, male",Kenya,KEN,..,..,..,..,..,..,..
"Children out of school, primary, male",Lesotho,LSO,15859,12787,9258,4299,..,..,..
"Children out of school, primary, male",Liberia,LBR,21442,..,..,82261,..,..,..
"Children out of school, primary, male",Madagascar,MDG,..,..,..,..,..,..,..
"Children out of school, primary, male",Malawi,MWI,..,..,..,..,..,..,..
"Children out of school, primary, male",Mali,MLI,469115,531456,524023,465237,631173,..,..
"Children out of school, primary, male",Mauritania,MRT,74126,..,89421,76737,69108,85497,..
"Children out of school, primary, male",Mauritius,MUS,..,..,..,..,..,..,..
"Children out of school, primary, male",Mozambique,MOZ,198421,155357,199898,241463,134743,32478,..
"Children out of school, primary, male",Namibia,NAM,..,..,..,..,..,..,..
"Children out of school, primary, male",Niger,NER,569041,562414,566897,539592,..,760498,..
"Children out of school, primary, male",Nigeria,NGA,..,..,..,..,..,..,..
"Children out of school, primary, male",Rwanda,RWA,..,..,12606,24620,42956,62064,..
"Children out of school, primary, male",Sao Tome and Principe,STP,1870,1793,..,1063,..,..,..
"Children out of school, primary, male",Senegal,SEN,309549,325841,..,..,..,407132,..
"Children out of school, primary, male",Seychelles,SYC,..,..,..,..,..,..,..
"Children out of school, primary, male",Sierra Leone,SLE,..,10200,..,..,..,..,..
"Children out of school, primary, male",Somalia,SOM,..,..,..,..,..,..,..
"Children out of school, primary, male",South Africa,ZAF,..,..,..,369093,458946,..,..
"Children out of school, primary, male",South Sudan,SSD,..,508255,..,..,..,..,..
"Children out of school, primary, male",Sudan,SDN,1414961,1411004,1385360,1216359,..,..,..
"Children out of school, primary, male",Tanzania,TZA,895054,..,895289,911042,1053124,821213,..
"Children out of school, primary, male",Togo,TGO,26541,16818,30316,27382,17695,14408,..
"Children out of school, primary, male",Uganda,UGA,..,..,..,..,..,..,..
"Children out of school, primary, male",Zambia,ZMB,..,..,..,281430,..,..,..
"Children out of school, primary, male",Zimbabwe,ZWE,..,..,..,..,..,..,..
"Children out of school, primary, male",Algeria,DZA,..,..,..,..,..,..,..
"Children out of school, primary, male","Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..
"Children out of school, primary, male",Djibouti,DJI,16916,20451,21832,20384,18804,16105,15489
"Children out of school, primary, male",Libya,LBY,..,..,..,..,..,..,..
"Children out of school, primary, male",Tunisia,TUN,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Angola,AGO,2.000610113,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Benin,BEN,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Botswana,BWA,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Burkina Faso,BFA,0,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Burundi,BDI,0.387710005,..,..,0.469980001,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Cabo Verde,CPV,..,7.010529995,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Cameroon,CMR,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Central African Republic,CAF,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Chad,TCD,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Comoros,COM,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","Congo, Dem. Rep.",COD,..,..,1.495810032,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","Congo, Rep.",COG,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Cote d'Ivoire,CIV,1.462000012,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Equatorial Guinea,GNQ,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Eritrea,ERI,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Eswatini,SWZ,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Ethiopia,ETH,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Gabon,GAB,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","Gambia, The",GMB,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Ghana,GHA,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Guinea,GIN,1.786280036,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Guinea-Bissau,GNB,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Kenya,KEN,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Lesotho,LSO,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Liberia,LBR,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Madagascar,MDG,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Malawi,MWI,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Mali,MLI,..,0.66535002,0.677649975,..,1.000820041,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Mauritania,MRT,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Mauritius,MUS,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Mozambique,MOZ,..,..,..,1.310140014,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Namibia,NAM,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Niger,NER,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Nigeria,NGA,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Rwanda,RWA,1.484539986,..,..,..,3.423990011,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Sao Tome and Principe,STP,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Senegal,SEN,..,..,..,0.902320027,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Seychelles,SYC,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Sierra Leone,SLE,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Somalia,SOM,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",South Africa,ZAF,..,5.715760231,..,8.21088028,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",South Sudan,SSD,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Sudan,SDN,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Tanzania,TZA,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Togo,TGO,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Uganda,UGA,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Zambia,ZMB,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Zimbabwe,ZWE,..,..,..,2.466429949,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Algeria,DZA,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Djibouti,DJI,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Libya,LBY,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",Tunisia,TUN,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Angola,AGO,3.342449903,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Benin,BEN,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Botswana,BWA,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Burkina Faso,BFA,0,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Burundi,BDI,1.282520056,..,..,1.401229978,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Cabo Verde,CPV,..,6.833909988,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Cameroon,CMR,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Central African Republic,CAF,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Chad,TCD,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Comoros,COM,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","Congo, Dem. Rep.",COD,..,..,5.631269932,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","Congo, Rep.",COG,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Cote d'Ivoire,CIV,4.04805994,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Equatorial Guinea,GNQ,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Eritrea,ERI,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Eswatini,SWZ,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Ethiopia,ETH,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Gabon,GAB,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","Gambia, The",GMB,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Ghana,GHA,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Guinea,GIN,7.51267004,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Guinea-Bissau,GNB,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Kenya,KEN,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Lesotho,LSO,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Liberia,LBR,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Madagascar,MDG,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Malawi,MWI,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Mali,MLI,..,2.74022007,2.571619987,..,3.595649958,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Mauritania,MRT,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Mauritius,MUS,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Mozambique,MOZ,..,..,..,2.418060064,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Namibia,NAM,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Niger,NER,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Nigeria,NGA,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Rwanda,RWA,3.277780056,..,..,..,4.963309765,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Sao Tome and Principe,STP,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Senegal,SEN,..,..,..,4.794419765,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Seychelles,SYC,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Sierra Leone,SLE,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Somalia,SOM,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",South Africa,ZAF,..,6.452410221,..,8.282770157,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",South Sudan,SSD,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Sudan,SDN,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Tanzania,TZA,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Togo,TGO,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Uganda,UGA,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Zambia,ZMB,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Zimbabwe,ZWE,..,..,..,4.143929958,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Algeria,DZA,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Djibouti,DJI,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Libya,LBY,..,..,..,..,..,..,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",Tunisia,TUN,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Angola,AGO,2.000610113,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Benin,BEN,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Botswana,BWA,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Burkina Faso,BFA,0,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Burundi,BDI,0.765799999,..,..,1.052780032,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Cabo Verde,CPV,..,12.31680012,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Cameroon,CMR,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Central African Republic,CAF,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Chad,TCD,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Comoros,COM,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","Congo, Dem. Rep.",COD,..,..,4.992809772,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","Congo, Rep.",COG,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Cote d'Ivoire,CIV,3.404829979,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Equatorial Guinea,GNQ,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Eritrea,ERI,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Eswatini,SWZ,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Ethiopia,ETH,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Gabon,GAB,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","Gambia, The",GMB,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Ghana,GHA,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Guinea,GIN,2.485369921,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Guinea-Bissau,GNB,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Kenya,KEN,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Lesotho,LSO,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Liberia,LBR,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Madagascar,MDG,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Malawi,MWI,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Mali,MLI,..,0.880720019,2.955460072,..,3.546629906,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Mauritania,MRT,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Mauritius,MUS,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Mozambique,MOZ,..,1.48071003,..,1.409350038,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Namibia,NAM,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Niger,NER,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Nigeria,NGA,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Rwanda,RWA,2.280380011,..,..,..,3.423990011,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Sao Tome and Principe,STP,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Senegal,SEN,..,..,..,4.554249763,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Seychelles,SYC,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Sierra Leone,SLE,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Somalia,SOM,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",South Africa,ZAF,14.41273022,14.9605999,..,13.6885004,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",South Sudan,SSD,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Sudan,SDN,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Tanzania,TZA,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Togo,TGO,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Uganda,UGA,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Zambia,ZMB,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Zimbabwe,ZWE,10.52328014,..,..,7.706520081,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",Algeria,DZA,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","Egypt, Arab Rep.",EGY,..,..,..,12.67203045,..,..,..
